GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MavenProj,default,MathOperation,2,20,2,2,1,5,2,4,0,4
MavenProj,default,LoggingTest,54,0,0,0,17,0,3,0,3,0
